ID,Name,Year,Team,Date,Score,
s01e01,"No Way Out",1987,"Eleana",2016-09-05,5.17,
s01e02,"Withnail and I",1987,"Mitsos",2016-09-16,6.75,
s01e03,"The American Friend",1977,"IVPAPA",2016-09-17,6.58,
s01e04,"The Legend of 1900",1998,"NGGRFGGTS",2016-09-24,7.25,
s02e01,"In the Mood for Love",2000,"Eleana",2016-09-26,7.05,
s02e02,"After Hours",1985,"Mitsos",2016-10-09,5.92,
s02e03,"Blow-Up",1966,"IVPAPA",2016-10-13,7.00,
s02e04,"Unforgiven",1992,"NGGRFGGTS",2016-10-18,7.08,
s03e01,"The Quiet American",2002,"Eleana",2016-11-10,6.00,
s03e02,"Caché",2005,"Mitsos",2016-11-12,7.57,
s03e03,"Ulysses' Gaze",1995,"IVPAPA",2016-11-20,8.92,
s03e04,"Alan Partridge: Alpha Papa",2013,"NGGRFGGTS",2016-11-21,7.58,
